═══════════════════════════════════════════════════════════════════
  COMPREHENSIVE MATCHUP RUNNER: 180+2 Time Control
  20 games per matchup (alternating colors)
  Parallel: ON | Pondering: ON
═══════════════════════════════════════════════════════════════════

Standard matchups: 1
Experimental matchups: 0
Total matchups: 1
Total GamesPerMatchup: 20

═══════════════════════════════════════════════════════════════════
  STANDARD MATCHUPS
═══════════════════════════════════════════════════════════════════

┌─────────────────────────────────────────────────────────────────────┐
│ 1. Grandmaster vs Braindead                                             │
├─────────────────────────────────────────────────────────────────────┤
│ Time: 180+2 | Pondering:  ON | Parallel:  ON │
└─────────────────────────────────────────────────────────────────────┘

    G 2 M 14 | B(15,11) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 15 | R(7,4) by Grandmaster  | T: 9.9s   /12.0s  | -    | Th: 9 | D4  | N: 5.5M     | NPS: 552.1K   | TT: 85.7% | %M: 12.0% | HD: 3.0  | P: -                         | VCF: -
    G 2 M 16 | B(5,5) by Braindead    | T: 4ms    /200ms  | -    | Th: 1 | D10 | N: 7.0K     | NPS: 3.5M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 17 | R(7,3) by Grandmaster  | T: 9ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 2.2K     | TT: 85.7% | %M: 0.0%  | HD: 0.0  | P: D1/4.7Kn/358.4Knps        | VCF: -
    G 2 M 18 | B(7,5) by Braindead    | T: 5ms    /189ms  | -    | Th: 1 | D11 | N: 8.1K     | NPS: 2.7M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 19 | R(6,5) by Grandmaster  | T: 10.3s  /11.7s  | -    | Th: 9 | D4  | N: 7.4M     | NPS: 714.3K   | TT: 90.9% | %M: 10.0% | HD: 3.0  | P: -                         | VCF: -
    G 2 M 20 | B(7,1) by Braindead    | T: 5ms    /182ms  | -    | Th: 1 | D11 | N: 8.0K     | NPS: 2.7M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 21 | R(5,6) by Grandmaster  | T: 57ms   /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 350      | TT: 90.9% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 22 | B(8,3) by Braindead    | T: 5ms    /205ms  | -    | Th: 1 | D11 | N: 8.0K     | NPS: 2.7M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 23 | R(6,4) by Grandmaster  | T: 2ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 10.0K    | TT: 90.9% | %M: 0.0%  | HD: 0.0  | P: D1/27n/0nps               | VCF: -
    G 2 M 24 | B(11,0) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 25 | R(6,3) by Grandmaster  | T: 52ms   /0ms    | Tc   | Th: 9 | D1  | N: 1        | NPS: 19       | TT: 90.9% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 26 | B(6,2) by Braindead    | T: 3ms    /293ms  | Bl   | Th: 1 | D0  | N: 6        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 27 | R(6,7) by Grandmaster  | T: 0ms    /0ms    | Wn   | Th: 9 | D1  | N: 1        | NPS: 0        | TT: 90.9% | %M: 0.0%  | HD: 0.0  | P: D1/27n/0nps               | VCF: -
    → Game 2: Grandmaster (Red) wins on move 27 (59.0s)

    G 3 M  1 | R(7,7) by Braindead    | T: 700ms  /73ms   | -    | Th: 1 | D2  | N: 503      | NPS: 720      | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M  2 | B(8,8) by Grandmaster  | T: 6.2s   /7.1s   | -    | Th: 9 | D2  | N: 6.1M     | NPS: 982.0K   | TT: 95.9% | %M: 75.0% | HD: 2.0  | P: D2/1.1Mn/6.8Mnps          | VCF: -
    G 3 M  3 | R(8,10) by Braindead    | T: 422ms  /157ms  | -    | Th: 1 | D2  | N: 679      | NPS: 1.6K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M  4 | B(9,8) by Grandmaster  | T: 8.4s   /8.4s   | -    | Th: 9 | D8  | N: 7.4M     | NPS: 873.3K   | TT: 68.8% | %M: 25.0% | HD: 5.0  | P: -                         | VCF: -
    G 3 M  5 | R(7,8) by Braindead    | T: 141ms  /138ms  | -    | Th: 1 | D2  | N: 887      | NPS: 6.3K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M  6 | B(8,9) by Grandmaster  | T: 9.3s   /9.2s   | -    | Th: 9 | D4  | N: 5.5M     | NPS: 584.4K   | TT: 96.7% | %M: 1.0%  | HD: 3.0  | P: D12/6.9Mn/0nps            | VCF: -
    G 3 M  7 | R(7,9) by Braindead    | T: 230ms  /124ms  | -    | Th: 1 | D2  | N: 987      | NPS: 4.3K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M  8 | B(7,6) by Grandmaster  | T: 1ms    /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 2.0K     | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: D1/29n/0nps               | VCF: -
    G 3 M  9 | R(7,10) by Braindead    | T: 118ms  /114ms  | -    | Th: 1 | D2  | N: 374      | NPS: 3.2K     | TT: 8.7%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 10 | B(7,11) by Grandmaster  | T: 55ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 18       | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 11 | R(6,8) by Braindead    | T: 2ms    /192ms  | -    | Th: 1 | D10 | N: 4.9K     | NPS: 4.9M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 12 | B(5,7) by Grandmaster  | T: 3ms    /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 666      | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: D1/21n/0nps               | VCF: -
    G 3 M 13 | R(9,11) by Braindead    | T: 4ms    /183ms  | -    | Th: 1 | D10 | N: 5.5K     | NPS: 2.8M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 14 | B(10,12) by Grandmaster  | T: 66ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 15       | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 15 | R(9,10) by Braindead    | T: 3ms    /177ms  | -    | Th: 1 | D10 | N: 5.9K     | NPS: 2.9M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 16 | B(6,10) by Grandmaster  | T: 3ms    /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 1.0K     | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 17 | R(10,10) by Braindead    | T: 4ms    /172ms  | -    | Th: 1 | D10 | N: 5.9K     | NPS: 2.9M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 18 | B(11,10) by Grandmaster  | T: 66ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 15       | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 19 | R(5,9) by Braindead    | T: 3ms    /169ms  | -    | Th: 1 | D10 | N: 6.2K     | NPS: 3.1M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 20 | B(8,6) by Grandmaster  | T: 2ms    /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 1.0K     | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: D1/24n/24.0Knps           | VCF: -
    G 3 M 21 | R(4,10) by Braindead    | T: 4ms    /193ms  | -    | Th: 1 | D10 | N: 6.3K     | NPS: 3.1M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 22 | B(3,11) by Grandmaster  | T: 67ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 14       | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 23 | R(8,7) by Braindead    | T: 4ms    /192ms  | -    | Th: 1 | D10 | N: 6.7K     | NPS: 3.3M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 24 | B(6,6) by Grandmaster  | T: 1ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 20.0K    | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: D1/27n/0nps               | VCF: -
    G 3 M 25 | R(6,0) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 26 | B(5,6) by Grandmaster  | T: 52ms   /0ms    | Tc   | Th: 9 | D1  | N: 1        | NPS: 19       | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 27 | R(4,6) by Braindead    | T: 5ms    /280ms  | Bl   | Th: 1 | D0  | N: 5        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 3 M 28 | B(9,6) by Grandmaster  | T: 0ms    /0ms    | Wn   | Th: 9 | D1  | N: 1        | NPS: 0        | TT: 96.7% | %M: 0.0%  | HD: 0.0  | P: D1/29n/29.0Knps           | VCF: -
    → Game 3: Grandmaster (Blue) wins on move 28 (26.0s)

    G 4 M  1 | R(7,7) by Grandmaster  | T: 1.6s   /2.7s   | -    | Th: 9 | D3  | N: 1.1M     | NPS: 688.0K   | TT: 1.4%  | %M: 1.0%  | HD: 2.5  | P: -                         | VCF: -
    G 4 M  2 | B(7,11) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M  3 | R(7,10) by Grandmaster  | T: 3.8s   /8.6s   | -    | Th: 9 | D2  | N: 1.5M     | NPS: 393.5K   | TT: 27.4% | %M: 0.0%  | HD: 2.0  | P: D1/27n/0nps               | VCF: -
    G 4 M  4 | B(8,10) by Braindead    | T: 330ms  /193ms  | -    | Th: 1 | D2  | N: 753      | NPS: 2.3K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M  5 | R(9,9) by Grandmaster  | T: 8.8s   /9.6s   | -    | Th: 9 | D2  | N: 7.5M     | NPS: 854.0K   | TT: 81.5% | %M: 44.0% | HD: 2.0  | P: -                         | VCF: -
    G 4 M  6 | B(6,12) by Braindead    | T: 131ms  /165ms  | -    | Th: 1 | D1  | N: 266      | NPS: 2.1K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M  7 | R(8,8) by Grandmaster  | T: 9.2s   /10.1s  | -    | Th: 9 | D2  | N: 5.0M     | NPS: 541.8K   | TT: 97.7% | %M: 40.0% | HD: 1.5  | P: D1/6n/0nps                | VCF: -
    G 4 M  8 | B(5,13) by Braindead    | T: 147ms  /145ms  | -    | Th: 1 | D2  | N: 509      | NPS: 3.5K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M  9 | R(4,14) by Grandmaster  | T: 1ms    /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 1.0K     | TT: 97.7% | %M: 0.0%  | HD: 0.0  | P: D1/6n/0nps                | VCF: -
    G 4 M 10 | B(10,10) by Braindead    | T: 4ms    /130ms  | -    | Th: 1 | D10 | N: 5.4K     | NPS: 2.7M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 11 | R(10,13) by Grandmaster  | T: 12.6s  /12.5s  | -    | Th: 9 | D6  | N: 7.0M     | NPS: 558.8K   | TT: 60.0% | %M: 1.0%  | HD: 4.0  | P: -                         | VCF: -
    G 4 M 12 | B(6,6) by Braindead    | T: 3ms    /212ms  | -    | Th: 1 | D10 | N: 5.8K     | NPS: 5.8M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 13 | R(7,6) by Grandmaster  | T: 9.3s   /12.0s  | -    | Th: 9 | D4  | N: 3.3M     | NPS: 354.6K   | TT: 4.5%  | %M: 1.0%  | HD: 3.0  | P: D2/4.6Mn/0nps             | VCF: -
    G 4 M 14 | B(7,8) by Braindead    | T: 3ms    /198ms  | -    | Th: 1 | D10 | N: 6.2K     | NPS: 3.1M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 15 | R(9,10) by Grandmaster  | T: 10.7s  /11.6s  | -    | Th: 9 | D4  | N: 7.1M     | NPS: 666.9K   | TT: 6.4%  | %M: 22.0% | HD: 4.0  | P: -                         | VCF: -
    G 4 M 16 | B(12,1) by Braindead    | T: 0ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 17 | R(8,11) by Grandmaster  | T: 8.9s   /11.2s  | -    | Th: 9 | D4  | N: 4.5M     | NPS: 502.5K   | TT: 93.3% | %M: 25.0% | HD: 3.0  | P: D15/5.3Mn/0nps            | VCF: -
    G 4 M 18 | B(9,12) by Braindead    | T: 4ms    /189ms  | -    | Th: 1 | D10 | N: 7.1K     | NPS: 3.6M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 19 | R(12,6) by Grandmaster  | T: 10.8s  /10.8s  | -    | Th: 9 | D6  | N: 5.8M     | NPS: 531.5K   | TT: 19.1% | %M: 0.0%  | HD: 4.0  | P: -                         | VCF: -
    G 4 M 20 | B(10,9) by Braindead    | T: 4ms    /182ms  | -    | Th: 1 | D11 | N: 8.0K     | NPS: 4.0M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 21 | R(5,8) by Grandmaster  | T: 11.2s  /11.9s  | -    | Th: 9 | D4  | N: 4.3M     | NPS: 384.0K   | TT: 9.9%  | %M: 24.0% | HD: 3.0  | P: D1/27n/0nps               | VCF: -
    G 4 M 22 | B(6,9) by Braindead    | T: 7ms    /205ms  | -    | Th: 1 | D11 | N: 8.2K     | NPS: 1.6M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 23 | R(6,7) by Grandmaster  | T: 2ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 10.0K    | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: D1/27n/0nps               | VCF: -
    G 4 M 24 | B(8,5) by Braindead    | T: 6ms    /201ms  | -    | Th: 1 | D11 | N: 8.1K     | NPS: 2.0M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 25 | R(5,7) by Grandmaster  | T: 61ms   /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 327      | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 26 | B(8,7) by Braindead    | T: 7ms    /543ms  | -    | Th: 1 | D11 | N: 8.2K     | NPS: 1.6M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 27 | R(9,6) by Grandmaster  | T: 4ms    /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 666      | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: D1/21n/0nps               | VCF: -
    G 4 M 28 | B(5,10) by Braindead    | T: 6ms    /539ms  | -    | Th: 1 | D11 | N: 8.1K     | NPS: 2.0M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 29 | R(4,11) by Grandmaster  | T: 60ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 16       | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 30 | B(4,9) by Braindead    | T: 6ms    /538ms  | -    | Th: 1 | D11 | N: 8.2K     | NPS: 2.0M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 31 | R(5,6) by Grandmaster  | T: 1ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 20.0K    | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: D1/24n/0nps               | VCF: -
    G 4 M 32 | B(5,9) by Braindead    | T: 4ms    /538ms  | -    | Th: 1 | D11 | N: 8.2K     | NPS: 4.1M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 33 | R(7,9) by Grandmaster  | T: 66ms   /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 30       | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 34 | B(2,7) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 35 | R(3,8) by Grandmaster  | T: 1ms    /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 1.0K     | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: D1/21n/0nps               | VCF: -
    G 4 M 36 | B(3,9) by Braindead    | T: 7ms    /543ms  | -    | Th: 1 | D11 | N: 8.1K     | NPS: 1.6M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 37 | R(2,9) by Grandmaster  | T: 68ms   /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 14       | TT: 9.9%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 4 M 38 | B(4,7) by Braindead    | T: 4ms    /545ms  | -    | Th: 1 | D11 | N: 8.0K     | NPS: 4.0M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
